url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_slashes,num_question_marks,num_equals,num_at_symbols,num_digits,uses_https,has_ip_address,subdomain_length,domain_length,tld_length,suspicious_word_count,label
23,15,0,0,2,0,2,0,0,0,0,1,0,3,7,3,0,0
25,17,0,0,2,0,2,0,0,0,0,1,0,3,9,3,0,0
26,13,5,0,3,0,3,0,0,0,0,1,0,3,3,5,0,0
31,10,13,0,2,1,3,0,0,0,0,1,0,0,3,6,0,0
32,14,10,0,2,0,3,0,0,0,0,1,0,3,6,3,0,0
42,19,15,0,2,1,4,0,0,0,0,1,0,5,9,3,0,0
30,14,8,0,3,0,3,0,0,0,0,1,0,3,4,5,0,0
67,13,46,0,3,1,7,0,0,0,0,1,0,3,5,3,0,0
34,20,6,0,2,0,3,0,0,0,0,1,0,8,7,3,2,0
40,19,13,0,2,0,4,0,0,0,0,1,0,7,7,3,1,0
56,33,16,0,1,4,3,0,0,0,0,0,0,28,4,0,4,1
40,12,21,0,3,1,4,0,0,0,9,0,1,0,12,0,3,1
55,31,17,0,1,4,3,0,0,0,0,0,0,26,4,0,5,1
49,35,7,0,1,3,3,0,0,0,0,0,0,30,4,0,4,1
52,25,0,0,3,2,2,0,0,1,0,1,0,20,4,0,2,1
50,32,11,0,1,3,3,0,0,0,0,0,0,27,4,0,3,1
51,38,6,0,1,4,3,0,0,0,0,0,0,33,4,0,5,1
49,27,15,0,1,3,3,0,0,0,0,0,0,22,4,0,1,1
48,34,7,0,1,3,3,0,0,0,0,0,0,29,4,0,4,1
49,34,8,0,1,3,3,0,0,0,0,0,0,29,4,0,4,1
42,26,8,0,3,0,3,0,0,0,0,1,0,14,7,3,0,0
40,18,14,0,2,0,4,0,0,0,0,1,0,6,7,3,1,0
53,39,7,0,1,4,3,0,0,0,0,0,0,34,4,0,2,1
49,41,1,0,1,4,3,0,0,0,0,0,0,36,4,0,4,1
